POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
30,-1462.267,-13738.5673,-1979.1562,1559.8999,-921.4148,-15200.8343,-1340.6711,-16541.5054
31,-1471.7558,-13742.9765,-1956.8817,1558.0004,-915.0589,-15214.7323,-1313.9402,-16528.6725
32,-1444.7106,-13818.7549,-1895.1921,1552.5336,-913.5484,-15263.4655,-1256.2069000000001,-16519.6724
33,-1432.282,-13807.5344,-1857.4183,1558.7517,-919.7349,-15239.8164,-1218.4015,-16458.2179
34,-1450.9826,-13794.6352,-1892.2688,1567.1433,-927.8696,-15245.6178,-1252.9951,-16498.6129
35,-1447.9035,-13722.3051,-1998.4078,1541.9874,-915.0869,-15170.2086,-1371.5073,-16541.7159
36,-1442.399,-13682.66,-2004.8412,1557.4476,-916.1564,-15125.059,-1363.5500000000002,-16488.609
37,-1433.8057,-13701.8623,-1989.8956,1565.1777,-935.0286,-15135.668000000001,-1359.7465000000002,-16495.414500000003
38,-1422.6217,-13674.2879,-2020.9453,1563.7649,-921.2136,-15096.909599999999,-1378.3940000000002,-16475.3036
39,-1439.7382,-13734.1441,-1982.0294,1556.29,-916.2204,-15173.8823,-1341.9598,-16515.842099999998
40,-1463.6706,-13798.6938,-1940.1096,1559.2242,-918.8234,-15262.364399999999,-1299.7087999999999,-16562.0732
41,-1439.6513,-13781.4916,-1935.1909,1554.6315,-916.4423,-15221.142899999999,-1297.0017000000003,-16518.1446
42,-1450.3214,-13812.976,-1920.0835,1571.5234,-932.8597,-15263.297400000001,-1281.4198,-16544.7172
43,-1441.2725,-13749.1349,-1994.8519,1572.5676,-937.6453,-15190.4074,-1359.9296,-16550.337
44,-1400.1401,-13861.7681,-1906.8738,1567.2378,-937.8888,-15261.9082,-1277.5248,-16539.432999999997
45,-1436.2817,-13840.2934,-1868.6816,1567.096,-926.355,-15276.5751,-1227.9406,-16504.5157
46,-1422.8193,-13799.8485,-1927.0804,1581.805,-943.709,-15222.6678,-1288.9843999999998,-16511.652199999997
47,-1423.6488,-13644.4128,-2044.3325,1579.674,-954.3773,-15068.0616,-1419.0358,-16487.097400000002
48,-1432.0292,-13797.5619,-1971.2738,1577.2784,-938.2896,-15229.591100000001,-1332.2849999999999,-16561.8761
49,-1416.9936,-13746.6704,-2012.6291,1578.9747,-938.2154,-15163.664,-1371.8698000000002,-16535.5338
50,-1421.7191,-13766.5955,-1996.1086,1570.3516,-935.7897,-15188.3146,-1361.5467,-16549.8613
51,-1406.1544,-13706.4031,-2004.8373,1568.2395,-934.2875,-15112.557499999999,-1370.8853,-16483.442799999997
52,-1427.4014,-13745.8804,-1991.4607,1577.5099,-939.4965,-15173.2818,-1353.4473,-16526.7291
53,-1415.3994,-13681.1127,-2070.9676,1586.0055,-949.0152,-15096.5121,-1433.9773,-16530.489400000002
54,-1449.205,-13660.5904,-2048.8917,1587.2104,-955.0174,-15109.795399999999,-1416.6987000000001,-16526.4941
55,-1422.4022,-13622.9825,-2095.2579,1594.5341,-967.1851,-15045.3847,-1467.9089,-16513.293599999997
56,-1428.1608,-13708.4807,-2052.3505,1576.4468,-951.0637,-15136.6415,-1426.9674,-16563.6089
57,-1434.9656,-13729.6465,-2035.7946,1592.2614,-961.6596,-15164.6121,-1405.1927999999998,-16569.8049
58,-1418.322,-13729.4235,-2078.6172,1585.4574,-951.4411,-15147.7455,-1444.6009000000001,-16592.346400000002
59,-1394.4897,-13549.2588,-2210.8404,1575.086,-949.1087,-14943.7485,-1584.8631,-16528.6116
60,-1425.6479,-13739.0693,-2065.7418,1574.6466,-940.926,-15164.7172,-1432.0211999999997,-16596.7384
61,-1404.316,-13768.2463,-2029.1012,1576.6925,-940.3259,-15172.562300000001,-1392.7346,-16565.2969
62,-1452.6082,-13673.2722,-2101.5673,1569.4585,-939.3535,-15125.8804,-1471.4623000000001,-16597.3427
63,-1432.7559,-13639.0216,-2127.2669,1583.7233,-953.7961,-15071.7775,-1497.3397,-16569.1172
64,-1441.2986,-13688.2976,-2175.1561,1569.4822,-944.2392,-15129.5962,-1549.9131000000002,-16679.509299999998
65,-1401.3864,-13538.8039,-2215.9956,1582.0365,-956.0441,-14940.1903,-1590.0032,-16530.1935
66,-1436.3057,-13538.2226,-2199.0612,1588.3491,-957.2757,-14974.528299999998,-1567.9878000000003,-16542.516099999997
67,-1419.4639,-13588.8966,-2157.2565,1583.6146,-950.5857,-15008.3605,-1524.2275999999997,-16532.5881
68,-1416.7179,-13552.7316,-2151.941,1593.9057,-961.4851,-14969.449499999999,-1519.5203999999999,-16488.9699
69,-1420.3033,-13620.4307,-2102.8121,1588.4341,-961.3504,-15040.734,-1475.7284000000002,-16516.4624
70,-1411.5125,-13720.8867,-2043.0671,1591.4487,-961.3612,-15132.3992,-1412.9796000000001,-16545.3788
71,-1386.7972,-13677.2769,-2031.5302,1597.3124,-965.9886,-15064.074100000002,-1400.2064,-16464.2805
72,-1419.1907,-13756.6866,-2052.0586,1587.9144,-966.6798,-15175.8773,-1430.824,-16606.7013
73,-1406.0275,-13758.4892,-2031.7347,1585.4149,-963.1042,-15164.5167,-1409.424,-16573.940700000003
74,-1410.8645,-13752.3868,-1999.5796,1587.2812,-961.9787,-15163.2513,-1374.2771000000002,-16537.528400000003
75,-1428.0054,-13714.4878,-2037.2875,1578.0013,-943.2328,-15142.4932,-1402.519,-16545.0122
76,-1397.3134,-13856.4642,-1942.6435,1577.4958,-945.4057,-15253.777600000001,-1310.5534,-16564.331
77,-1434.2151,-13708.0906,-2015.59,1586.3173,-961.4654,-15142.305699999999,-1390.7381,-16533.043799999996
78,-1434.5094,-13610.0283,-2103.9872,1578.7762,-948.418,-15044.5377,-1473.629,-16518.1667
79,-1406.1559,-13700.8411,-2083.4059,1588.5664,-956.6177,-15106.997,-1451.4572000000003,-16558.4542
80,-1408.3722,-13649.2007,-2142.599,1586.1614,-961.0112,-15057.5729,-1517.4488000000001,-16575.0217
81,-1397.1194,-13706.2786,-2092.4188,1594.1419,-968.7127,-15103.398,-1466.9895999999999,-16570.387600000002
82,-1422.8956,-13651.8552,-2101.4062,1586.8938,-947.1001,-15074.7508,-1461.6124999999997,-16536.3633
83,-1439.2088,-13735.165,-2040.4925,1586.185,-956.3121,-15174.373800000001,-1410.6196,-16584.993400000003
84,-1392.2634,-13768.918,-2058.9813,1596.117,-965.8506,-15161.1814,-1428.7149,-16589.8963
85,-1384.0379,-13768.0109,-2042.6342,1581.8238,-954.7399,-15152.048799999999,-1415.5503,-16567.599099999996
86,-1412.6187,-13717.3185,-2098.6958,1596.2729,-967.511,-15129.9372,-1469.9339,-16599.8711
87,-1383.1779,-13643.7149,-2123.2229,1587.5931,-965.0497,-15026.892800000001,-1500.6795000000002,-16527.572300000003
88,-1426.8291,-13571.0282,-2158.5527,1600.8609,-963.7467,-14997.8573,-1521.4385000000002,-16519.2958
89,-1407.5,-13621.7255,-2105.2257,1585.5944,-952.6913,-15029.2255,-1472.3226,-16501.5481
90,-1432.3332,-13719.5512,-2053.0958,1586.6528,-954.0959,-15151.884399999999,-1420.5389,-16572.4233
91,-1411.0246,-13626.8203,-2064.1885,1587.9238,-952.158,-15037.8449,-1428.4227,-16466.2676
92,-1401.6094,-13665.2249,-2107.5298,1587.7868,-957.1247,-15066.834299999999,-1476.8676999999998,-16543.701999999997
93,-1407.8427,-13688.2733,-2081.884,1581.9278,-948.7239,-15096.116,-1448.6801,-16544.7961
94,-1411.0442,-13722.0077,-2027.7408,1588.2168,-954.5334,-15133.0519,-1394.0574000000001,-16527.1093
95,-1406.0486,-13668.7711,-2077.4803,1593.2395,-960.9635,-15074.8197,-1445.2043000000003,-16520.024
96,-1419.7228,-13736.8439,-2023.8765,1591.1935,-965.7336,-15156.5667,-1398.4166,-16554.9833
97,-1406.014,-13752.3047,-2062.5278,1588.8027,-962.9065,-15158.3187,-1436.6316,-16594.9503
98,-1395.6501,-13747.5008,-2033.6011,1600.6861,-968.0315,-15143.1509,-1400.9465000000002,-16544.097400000002
